timestamp(s),px(m),py(m),pz(m),qw,qx,qy,qz
320343.324773,-0.005259,-0.130174,-0.023250,0.017443,-0.019693,-0.844826,0.534457
320343.358593,-0.004872,-0.142969,-0.026308,0.014736,-0.019321,-0.848772,0.528269
320343.392413,-0.005182,-0.154912,-0.030223,0.012211,-0.019154,-0.852044,0.522994
320343.426232,-0.001045,-0.168399,-0.039779,0.012327,-0.017142,-0.855484,0.517469
320343.460052,-0.000472,-0.172256,-0.041582,0.013157,-0.014979,-0.857784,0.513460
320343.493872,-0.001712,-0.178718,-0.043943,0.014904,-0.012501,-0.860674,0.508826
320343.527692,-0.000112,-0.186164,-0.047392,0.017010,-0.010582,-0.863345,0.504213
320343.561511,0.000464,-0.193513,-0.051615,0.018645,-0.009482,-0.865899,0.499851
320343.595331,0.002967,-0.199727,-0.055114,0.019050,-0.008543,-0.867987,0.496093
320343.629151,0.004667,-0.204954,-0.059861,0.020469,-0.008102,-0.869891,0.492792
320343.662970,0.004995,-0.213219,-0.064069,0.023458,-0.008655,-0.870709,0.491244
320343.696790,0.004533,-0.221041,-0.065520,0.024869,-0.008033,-0.870359,0.491724
320343.730610,0.007065,-0.228319,-0.067686,0.022444,-0.006862,-0.870775,0.491157
320343.764429,0.007839,-0.238223,-0.073585,0.020270,-0.006990,-0.872591,0.487984
320343.798249,0.008581,-0.245030,-0.078287,0.016998,-0.006593,-0.876106,0.481723
320343.832069,0.010141,-0.250590,-0.082456,0.013960,-0.006257,-0.879324,0.476080
320343.865889,0.008692,-0.254239,-0.084684,0.014604,-0.007104,-0.882454,0.470265
320343.899708,0.007713,-0.259604,-0.087286,0.016381,-0.007157,-0.884879,0.465465
320343.933528,0.007235,-0.263634,-0.090874,0.017737,-0.007721,-0.886761,0.461772
320343.967347,0.006127,-0.263447,-0.092978,0.018648,-0.008979,-0.887629,0.460218
320344.001167,0.005797,-0.262464,-0.091667,0.018380,-0.008869,-0.888032,0.459212
320344.034987,0.004432,-0.258399,-0.091521,0.018379,-0.010075,-0.888635,0.458121
320344.068806,0.004534,-0.255265,-0.090119,0.017404,-0.010459,-0.888863,0.457758
320344.102626,0.004962,-0.250481,-0.087782,0.016783,-0.010891,-0.889026,0.457365
320344.136446,0.005634,-0.243980,-0.084052,0.016571,-0.011611,-0.888859,0.457841
320344.170266,0.005552,-0.235245,-0.079223,0.017114,-0.013120,-0.888188,0.458934
320344.204085,0.006464,-0.226231,-0.073792,0.017420,-0.014365,-0.887416,0.460305
320344.237905,0.007615,-0.215461,-0.068862,0.016976,-0.015595,-0.886138,0.463013
320344.271725,0.007591,-0.206916,-0.064289,0.015627,-0.017190,-0.884719,0.465529
320344.305544,0.009750,-0.198746,-0.061169,0.012757,-0.018255,-0.885560,0.463660
320344.339364,0.010714,-0.187905,-0.054863,0.012253,-0.019357,-0.886716,0.461854
320344.373184,0.010886,-0.176198,-0.045998,0.012369,-0.021096,-0.884758,0.465385
320344.407003,0.012612,-0.165565,-0.038671,0.011636,-0.021688,-0.883194,0.468265
320344.440823,0.013846,-0.153734,-0.031538,0.011398,-0.022202,-0.881666,0.471516
320344.474643,0.015300,-0.141764,-0.023841,0.011115,-0.022152,-0.879791,0.474665
320344.508463,0.017289,-0.129387,-0.016558,0.011223,-0.023052,-0.877436,0.479210
320344.542282,0.014903,-0.115239,-0.009621,0.012503,-0.026203,-0.873961,0.485134
320344.576102,0.012013,-0.102571,-0.007614,0.010661,-0.032462,-0.873154,0.486603
320344.609921,0.022038,-0.090490,0.001508,0.006892,-0.039882,-0.872029,0.486984
320344.643741,0.023816,-0.079839,0.006316,0.006017,-0.046889,-0.868435,0.492431
320344.677561,0.026025,-0.068993,0.013422,0.005988,-0.051786,-0.864472,0.500333
320344.711380,0.029839,-0.060016,0.021762,0.006349,-0.054959,-0.858374,0.509140
320344.745200,0.033606,-0.049480,0.027057,0.006222,-0.055351,-0.853684,0.517614
320344.779020,0.034660,-0.037446,0.031672,0.005747,-0.056392,-0.849613,0.524582
320344.812840,0.035468,-0.027387,0.035424,0.005067,-0.056667,-0.845128,0.532274
320344.846659,0.037088,-0.017397,0.038382,0.002470,-0.055630,-0.843996,0.538939
320344.880479,0.039277,-0.006274,0.042183,0.000634,0.055630,0.851234,-0.550942
320344.914298,0.041261,0.000171,0.044033,0.000122,-0.062500,-0.911003,0.601669
320344.948118,0.042668,0.007591,0.046506,0.000546,-0.058467,-0.864228,0.579090
320344.981938,0.044323,0.014471,0.047210,0.000546,0.057212,0.857928,-0.579584
320345.015757,0.045690,0.020615,0.048140,0.000228,0.060747,0.908213,-0.619151
320345.049577,0.046372,0.025061,0.049088,0.001227,-0.055704,-0.820666,0.564432
320345.083397,0.046739,0.028021,0.049877,0.003961,-0.056995,-0.821088,0.568648
320345.117217,0.046586,0.030204,0.050887,0.007406,-0.057817,-0.819125,0.570715
320345.151036,0.046830,0.031063,0.051693,0.009616,-0.058261,-0.817227,0.572905
320345.184856,0.046691,0.030139,0.052307,0.010955,-0.057672,-0.815397,0.575720
320345.218676,0.047207,0.029252,0.052650,0.011679,-0.057105,-0.815025,0.576396
320345.252495,0.047222,0.026235,0.052250,0.012794,-0.056535,-0.814357,0.577385
320345.286315,0.046787,0.021913,0.051103,0.013785,-0.055724,-0.814945,0.576649
320345.320135,0.046133,0.016753,0.049500,0.013597,-0.054372,-0.816014,0.575306
320345.353954,0.045348,0.011047,0.047732,0.012966,-0.052718,-0.817924,0.572654
320345.387774,0.044052,0.004777,0.046182,0.012382,-0.051093,-0.819737,0.570271
320345.421594,0.042253,-0.003772,0.043525,0.011628,-0.049172,-0.819603,0.570725
320345.455414,0.041399,-0.010068,0.043183,0.010323,-0.046463,-0.817038,0.574568
320345.489233,0.038968,-0.021450,0.037953,0.007497,-0.043877,-0.817870,0.573113
320345.523053,0.037625,-0.033056,0.033954,0.004855,-0.043452,-0.821503,0.567390
320345.556872,0.035404,-0.043203,0.030258,0.003810,-0.042470,-0.828479,0.558904
320345.590692,0.034291,-0.055523,0.025895,0.002935,-0.040782,-0.831638,0.550469
320345.624512,0.032764,-0.068737,0.021295,0.002055,-0.039512,-0.835506,0.542937
320345.658331,0.031398,-0.081037,0.017373,0.001615,-0.039236,-0.843466,0.539185
320345.692151,0.029892,-0.093204,0.012927,0.002075,-0.038639,-0.845058,0.530417
320345.725971,0.028548,-0.103752,0.007739,0.002022,-0.036574,-0.852743,0.526775
320345.759791,0.027580,-0.115278,0.002747,0.003970,-0.035541,-0.854435,0.520431
320345.793610,0.026791,-0.126703,-0.002546,0.005698,-0.034691,-0.856977,0.513943
